categoria_busqueda,tienda,producto,precio_tarjeta,precio_credito
tarjeta de video,Computron,TARJETA DE VIDEO ASUS GEFORCE RTX™ 5050 8GB GDDR6 PCIe5.0 HDMI DP,"$469,99",Crédito Directo 15 cuotas de: $61.90
tarjeta de video,Computron,TARJETA DE VIDEO ASUS DUAL GEFORCE RTX 5060 8GB GDRR7 OC EDITION PCIe5.0 HDMI-DP,"$589,99
$499,99",Crédito Directo 3 cuotas de: $237.60
tarjeta de video,Computron,TARJETA DE VIDEO ASUS DUAL GeForce RTX™ 3050 OC 6GB GDDR6X DOS VENTILADORES PCIe 4.0/DVI/HDMI/DP,"$299,99",Crédito Directo 18 cuotas de: $33.53
tarjeta de video,Computron,TARJETA TPLINK PCIe x1 WIFI 300Mbps 2 ANTENAS DESMONTABLES,"$14,99",Crédito Directo 3 cuotas de: $7.22
tarjeta de video,Computron,COMPUTADOR PC COOLER MASTER INTEL ULTRA 5 245K 5.20GHz-16GB-SSD 1TB-TG RTX5060 8GB-750W 80+ BRONZE,"$1.969,99",Crédito Directo 6 cuotas de: $457.27
procesador,Computron,PROCESADOR AMD RYZEN 7 5700G AM4 3.8GHZ DDR4 WRAITH STEALTH 8 NUCLEOS,"$279,99",Crédito Directo 3 cuotas de: $133.11
procesador,Computron,PROCESADOR AMD RYZEN 5 5600GT AM4 3.6GHZ DDR4 WRAITH STEALTH 6 NUCLEOS,"$229,99",Crédito Directo 18 cuotas de: $25.75
procesador,Computron,PROCESADOR AMD FX-8300 3.3 GHZ 16 MB AM3+ (EOL),"$179,99",Crédito Directo 6 cuotas de: $43.62
procesador,Computron,PROCESADOR LENOVO SERVIDOR SR550/SR590/SR650 Intel Xeon Silver 4208 8C 85W 2.1GHz,"$951,99",Crédito Directo 24 cuotas de: $88.72
procesador,Computron,PROCESADOR LENOVO SERVIDOR SR530/SR570/SR630 Intel Xeon Silver 4214 12C 85W 2.2GHz,"$1.762,99",Crédito Directo 12 cuotas de: $262.83
procesador,Computron,COOLER KIT LENOVO THINKSYSTEM DEL PROCESADOR,"$55,99",Crédito Directo 3 cuotas de: $26.62
procesador,Computron,COOLER KIT LENOVO THINKSYSTEM DEL PROCESADOR SR570,"$125,99",Crédito Directo 6 cuotas de: $30.56
procesador,Computron,NUC ASUS INTEL CORE 3 PROCESSOR 100U DDR5 5600MHZ M.2 WIFI7 BT5.4 HDMI-THUNDERBOLT RJ45-VESA,"$519,99",Crédito Directo 9 cuotas de: $97.20
procesador,Computron,"LAPTOP ASUS VIVOBOOK 16 AMD R7 AI 350 2.0GHZ-16GB-1TB-QUIET BLUE-16""WUXGA-W11+MOCH+MO+OFFICE365","$1.289,99
$1.059,99",Crédito Directo 24 cuotas de: $94.62
procesador,Computron,"LAPTOP ASUS VIVOBOOK S16 AMD R9-270 (16TOPS) 4.0GHZ-16GB-1TB SSD-MATE GRAY-16""WUXGA-W11+MOC+OFI365","$1.339,99
$1.229,99",Crédito Directo 9 cuotas de: $229.82
procesador,Computron,"COMPUTADOR AIO LENOVO IDEACENTRE 24ARR9 AMD R5-7535HS 3.3GHZ-16GB-512GB SSD-LUNA GREY-23.8""FHD-W11","$1.169,99",Crédito Directo 18 cuotas de: $125.36
