tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador Intel Core Ultra 7 265 con Intel Graphics, LGA 1851, 5.3GHz, 20 Núcleos, 30MB Caché, Incluye Disipador – 2da. Generación Arrow Lake","$440,00 
El precio original era: $440,00.
$425,00
El precio actual es: $425,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/ulltra7265/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador AMD Ryzen 5 5600GT con AMD Radeon Graphics, Socket AM4, 4.60GHz, 6 Núcleos, 16MB Caché – Incluye Disipador","$210,00 
El precio original era: $210,00.
$199,00
El precio actual es: $199,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-5-5600gt-con-amd-radeon-graphics-socket-am4-4-60ghz-6-nucleos-16mb-cache-incluye-disipador/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador AMD Ryzen 7 8700G con AMD Radeon Graphics, Socket AM5, 5.10GHz, 8 Núcleos, 24MB Caché – Incluye Disipador","$325,00 
El precio original era: $325,00.
$315,00
El precio actual es: $315,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-7-8700g-con-amd-radeon-graphics-socket-am5-5-10ghz-8-nucleos-24mb-cache-incluye-disipador/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador AMD Ryzen 7 8700F, Socket AM5, 5GHz, 8 Núcleos, 16MB Caché – Incluye Disipador","$350,00 
El precio original era: $350,00.
$325,00
El precio actual es: $325,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-7-8700f-socket-am5-5ghz-8-nucleos-16mb-cache-incluye-disipador/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador Intel Core i5-14400 con Intel UHD Graphics 730, LGA 1700, 4.70GHz, 10 Núcleos, 20MB Caché, Incluye Disipador – 14va. Generación Raptor Lake","$260,00 
El precio original era: $260,00.
$245,00
El precio actual es: $245,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/procesador-intel-core-i5-14400-con-intel-uhd-graphics-730-lga-1700-4-70ghz-10-nucleos-20mb-cache-incluye-disipador-14va-generacion-raptor-lake/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador AMD Ryzen 5 8500G con AMD Radeon Graphics, Socket AM5, 5GHz, 6 Núcleos, 16MB Caché – Incluye Disipador","$189,00 
El precio original era: $189,00.
$179,00
El precio actual es: $179,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-5-8500g-con-amd-radeon-graphics-socket-am5-5ghz-6-nucleos-16mb-cache-incluye-disipador/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador Intel Core Ultra 9 285K con Intel Graphics, LGA 1851, 5.7GHz","$980,00 
El precio original era: $980,00.
$950,00
El precio actual es: $950,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/ultra9285k/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Procesador Intel Core Ultra 7 265K Intel Graphics, FCLGA1851, 5.50GHz","$590,00 
El precio original era: $590,00.
$575,00
El precio actual es: $575,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/ultra7265k/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,Procesador Intel Core Ultra 5 245K LGA 1851 14x,"$455,00 
El precio original era: $455,00.
$435,00
El precio actual es: $435,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/ultra5245/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,"Tarjeta de Video Gigabyte AMD Radeon RX 9070 GAMING OC, 16GB 256-bit GDDR6, PCI Express 5.0","$950,00 
El precio original era: $950,00.
$900,00
El precio actual es: $900,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/tarjeta-de-video-gigabyte-amd-radeon-rx-9070-gaming-oc-16gb-256-bit-gddr6-pci-express-5-0/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,CPU,procesador,Mainbaord Asus Prime B860m-a socket 1851 intel,"$199,00 
El precio original era: $199,00.
$190,00
El precio actual es: $190,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/mainbaord-asus-prime-b860m-a-socket-1851-intel/,2026-06-30 01:53:05
CompuGamer,Ecuador,USD,GPU,tarjeta de video,"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 5070 Ti GAMING OC, 16GB 256-bit GDDR7, PCI Express x16 5.0","$1.690,00 
El precio original era: $1.690,00.
$1.590,00
El precio actual es: $1.590,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/rtx5070ti16gbgigabyte/,2026-06-30 01:53:11
CompuGamer,Ecuador,USD,GPU,tarjeta de video,"Tarjeta de Video Gigabyte AMD Radeon RX 9070 GAMING OC, 16GB 256-bit GDDR6, PCI Express 5.0","$950,00 
El precio original era: $950,00.
$900,00
El precio actual es: $900,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/tarjeta-de-video-gigabyte-amd-radeon-rx-9070-gaming-oc-16gb-256-bit-gddr6-pci-express-5-0/,2026-06-30 01:53:11
CompuGamer,Ecuador,USD,GPU,tarjeta de video,"Tarjeta de Video ASUS NVIDIA GeForce RTX 5050 OC Edition, 8GB 128-bit GDDR6, PCI Express 5.0","$399,00 
El precio original era: $399,00.
$395,00
El precio actual es: $395,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/tarjeta-de-video-asus-nvidia-geforce-rtx-5050-oc-edition-8gb-128-bit-gddr6-pci-express-5-0/,2026-06-30 01:53:11
CompuGamer,Ecuador,USD,GPU,tarjeta de video,"Tarjeta de Video ASUS NVIDIA RTX 5060 DUAL-RTX5060-O8G, 8GB 128-bit GDDR7, PCI Express 5.0","$499,00 
El precio original era: $499,00.
$480,00
El precio actual es: $480,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/dual50608gb/,2026-06-30 01:53:11
CompuGamer,Ecuador,USD,RAM,memoria ram,Memoria RAM KINGSTON 16GB DDR5 5600MHz – DIMM – CL46 (KVR56U46BS8- 16),"$210,00 
El precio original era: $210,00.
$199,00
El precio actual es: $199,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/memoria-ram-kingston-16gb-ddr5-5600mhz-dimm-cl46-kcp556us8-16-kvr56u46bs8-16/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,RAM,memoria ram,"Memoria RAM Crucial 16GB DDR5, 5600MHz, 16GB, PC","$210,00 
El precio original era: $210,00.
$199,00
El precio actual es: $199,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/memoria-ram-crucial-16gb-ddr5-5600mhz-16gb-pc/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,RAM,memoria ram,"Memoria RAM Kingston KCP548US8-16 DDR5, 4800MHz, 16GB, CL40, Verde","$210,00 
El precio original era: $210,00.
$199,00
El precio actual es: $199,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/memoria-ram-kingston-kcp548us8-16-ddr5-4800mhz-16gb-cl40-verde/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,RAM,memoria ram,Memoria RAM KINGSTON VALUERAM 32GB *DDR5* 6400MHZ – CL52 – CUDIMM (KVR64A52BD8-32) para PC,"$300,00 
El precio original era: $300,00.
$290,00
El precio actual es: $290,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/32gbddr5cudimm/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,RAM,memoria ram,"Memoria RAM Mushkin DDR4, 3200MHz, 16GB PC","$199,00 
El precio original era: $199,00.
$189,00
El precio actual es: $189,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/memoria-ram-mushkin-ddr4-3200mhz-16gb-pc16gbddr4-memoriaram16gbddr4/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,RAM,memoria ram,"Memoria RAM Kingston 16GB DDR4, 3200MHz para PC","$199,00 
El precio original era: $199,00.
$189,00
El precio actual es: $189,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/16gbkins-16gb-ddr4/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,RAM,memoria ram,"Memoria RAM Adata 16GB DDR4, 3200MHz para PC","$199,00 
El precio original era: $199,00.
$189,00
El precio actual es: $189,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/16gbadata16gb-ddr4/,2026-06-30 01:53:17
CompuGamer,Ecuador,USD,Monitor,monitor,"Monitor Gamer LG UltraGear G4 LCD 23.8″, 1920×1080 Full HD, G-Sync/FreeSync, 144Hz, HDMI/DisplayPort, Negro Modelo 24G411A-B","$210,00 
El precio original era: $210,00.
$195,00
El precio actual es: $195,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor-gamer-lg-ultragear-g4-lcd-23-8-1920x1080-full-hd-g-sync-freesync-144hz-hdmi-displayport-negro-modelo-24g411a-b/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,Monitor Teros Te-1914s 19.5″ 1600×900 5ms 220 Nits – Hdmi – Vga – Parlantes,"$115,00 
El precio original era: $115,00.
$110,00
El precio actual es: $110,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor-teros-te-1914s-19-5-1600x900-5ms-220-nits-hdmi-vga-parlantes/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,"Monitor Gamer Curvo Gigabyte GS34WQCA LCD 34″, 3440×1440 Ultra Wide Quad HD, FreeSync, 120Hz, HDMI/DisplayPort, Negro","$515,00 
El precio original era: $515,00.
$490,00
El precio actual es: $490,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor-gamer-curvo-gigabyte-gs34wqca-lcd-34-3440x1440-ultra-wide-quad-hd-freesync-120hz-hdmi-displayport-negro/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,"Monitor Gamer Gigabyte GS27FA LED 27″, 1920×1080 Full HD, 180Hz, HDMI/DisplayPort, Negro","$290,00 
El precio original era: $290,00.
$280,00
El precio actual es: $280,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/gs27fa/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,MONITOR Indurama 32″ VORTIX Ultra VA FHD 1080p,"$399,00 
El precio original era: $399,00.
$380,00
El precio actual es: $380,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor-indurama-32-vortix-ultra-va-fhd-1080p/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,MONITOR Indurama 27″ VORTIX NOVA IPS FHD 1080p 120Hz HDMI DISPLAYPORT,"$189,00 
El precio original era: $189,00.
$179,00
El precio actual es: $179,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor-indurama-27-vortix-nova-ips-fhd-1080p-120hz/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,MONITOR LG 19.5″ HD+ 1600×900 – LED TN – 75Hz – 5ms (GTG) – HDMI/VGA – NEGRO Modelo 20u401a,"$1.010,00 
El precio original era: $1.010,00.
$99,00
El precio actual es: $99,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor20u401a/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,Monitor HD LG 19.5″ 20MK40L 75Hz LED HDMI VGA 1366 x 768,"$110,00 
El precio original era: $110,00.
$99,00
El precio actual es: $99,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/monitor20mk40l/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,MONITOR RCA W2427SG 23.8″ FHD (1920X1080) 100HZ – 14MS – HDMI/VGA,"$169,00 
El precio original era: $169,00.
$159,00
El precio actual es: $159,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/w2427sg/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,Monitor Quasad 19.5″ QM-B20 HD 1366×768 – 60Hz,"$115,00 
El precio original era: $115,00.
$110,00
El precio actual es: $110,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/qm-b20/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,CPU para juegos AMD RYZEN 5 5500 RTX 3050 6GB sin monitor,"$890,00 
El precio original era: $890,00.
$800,00
El precio actual es: $800,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/cpur535006gb/,2026-06-30 01:53:42
CompuGamer,Ecuador,USD,Monitor,monitor,CPU para juegos AMD RYZEN 5 5600G RTX 3050 sin monitor,"$820,00 
El precio original era: $820,00.
$750,00
El precio actual es: $750,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/cpu5600g30506gb/,2026-06-30 01:53:43
