tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
Computron,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 8500G AM5 3.5GHZ DDR5 6 NUCLEOS 12 HILOS,"$248,99",https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 5600GT AM4 3.6GHZ DDR4 WRAITH STEALTH 6 NUCLEOS,"$229,99",https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,PROCESADOR LENOVO SERVIDOR SR550/SR590/SR650 Intel Xeon Silver 4208 8C 85W 2.1GHz,"$951,99",https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,PROCESADOR LENOVO SERVIDOR SR530/SR570/SR630 Intel Xeon Silver 4214 12C 85W 2.2GHz,"$1.762,99",https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,COOLER KIT LENOVO THINKSYSTEM DEL PROCESADOR,"$55,99",https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,COOLER KIT LENOVO THINKSYSTEM DEL PROCESADOR SR570,"$125,99",https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,"LAPTOP ASUS VIVOBOOK GO 15 AMD R5-40(7520U) 2.8GHZ-16GB-512GB SSD-GREEN-15.6""FHD+MOUSE+W11","$879,99",https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,"LAPTOP ASUS VIVOBOOK GO 15 AMD R5-40 2.8GHZ-16GB-512GB SSD-SILVER-15.6""FHD+MOUSE+W11","$869,99",https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,COMPUTADOR PC XTRATECH AMD R5-5600GT AM4 3.60GHz-16GB-SSD 512GBTB-TECLADO+MOUSE-W11,"$619,99
$569,99",https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30 01:41:01
Computron,Ecuador,USD,CPU,procesador,"LAPTOP LENOVO YOGA PRO 7 14ASP9 RYZEN AI 9-365 2.0GHZ-32GB-1TB SSD- GREY-14.5""OLED 2.8K WQXGA+W11","$2.429,99",https://www.computron.com.ec/producto-categoria/computadoras/,2026-06-30 01:41:01
