tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
MTEC,Ecuador,USD,CPU,procesador,Intel Core Ultra 5 225F Procesador 10C hasta 4.9Ghz,"$242.00 
El precio original era: $242.00.
$220.00
El precio actual es: $220.00.",https://mtec-ec.com/producto/intel-core-ultra-5-225f-procesador-10-nuc-hasta-4-9ghz-copia/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,AMD Ryzen 9 9900X Procesador 4.4Ghz 12 Núc 24 Hilos,"$594.00 
El precio original era: $594.00.
$540.00
El precio actual es: $540.00.",https://mtec-ec.com/producto/amd-ryzen-9-9900x-procesador-4-4ghz-12-nucleos-24-hilos/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,Intel Core Ultra 9 285K Procesador 24 Núcleos 24 3.2/5.7Ghz,"$918.50 
El precio original era: $918.50.
$835.00
El precio actual es: $835.00.",https://mtec-ec.com/producto/intel-core-ultra-9-285k-procesador-24-nucleos-24-3-2-5-7ghz/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,Amd Ryzen 7 8700F Procesador 8 Núc 16h 4.1 – 5.Ghz,"$330.00 
El precio original era: $330.00.
$300.00
El precio actual es: $300.00.",https://mtec-ec.com/producto/amd-ryzen-7-8700f-procesador-8-nuc-16h-4-1-5-ghz/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,Amd Ryzen 7 9700X Procesador 3.8-5.5Ghz 8N 16H,"$473.00 
El precio original era: $473.00.
$430.00
El precio actual es: $430.00.",https://mtec-ec.com/producto/amd-ryzen-7-9700x-3-8-5-5ghz-8-nucleos-16-hilos/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,Amd Ryzen 7 8700G Procesador 8 Núc 16h 4.2 – 5.1Ghz,"$385.00 
El precio original era: $385.00.
$350.00
El precio actual es: $350.00.",https://mtec-ec.com/producto/amd-ryzen-7-8700g-procesador-8-nucleos-16-hilos-4-2ghz-5-1ghz/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,Intel Core Ultra 7 265 Procesador 20 Núcleos hasta 5.3Ghz,"$517.00 
El precio original era: $517.00.
$470.00
El precio actual es: $470.00.",https://mtec-ec.com/producto/intel-core-ultra-7-265-procesador-20-nucleos-hasta-5-3ghz/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,Amd Ryzen 5 8600G Procesador 6 Núcleos 12 Hilos 4.3Ghz – 5.0Ghz,"$270.00 
El precio original era: $270.00.
$245.00
El precio actual es: $245.00.",https://mtec-ec.com/producto/amd-ryzen-5-8600g-procesador-6-nucleos-12-hilos-4-3ghz-5-0ghz/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,AMD Ryzen 5 8500G Procesador 3.5Ghz 6 Núcleos 12 Hilos AM5,"$213.00 
El precio original era: $213.00.
$194.00
El precio actual es: $194.00.",https://mtec-ec.com/producto/amd-ryzen-5-8500g-procesador-3-5ghz-6-nucleos-12-hilos-am5/,2026-06-30 01:46:20
MTEC,Ecuador,USD,CPU,procesador,HP Victus AMD Ryzen 7-7445HS RTX 4050 16GB,"$1,452.00 
El precio original era: $1,452.00.
$1,320.00
El precio actual es: $1,320.00.",https://mtec-ec.com/producto/hp-victus-amd-ryzen-7-7445hs-rtx-4050-16gb/,2026-06-30 01:46:21
MTEC,Ecuador,USD,CPU,procesador,MSI Thin 15 B13VE Intel i5-13420H RTX 4050 16GB,"$1,711.51 
El precio original era: $1,711.51.
$1,065.00
El precio actual es: $1,065.00.",https://mtec-ec.com/producto/msi-thin-15-b13ve-intel-i5-13420h-rtx-4050-16gb/,2026-06-30 01:46:21
MTEC,Ecuador,USD,CPU,procesador,Gamdias Aura GC12 Case Gamer 6 Fans Argb,"$77.00 
El precio original era: $77.00.
$70.00
El precio actual es: $70.00.",https://mtec-ec.com/producto/gamdias-aura-gc12-case-gamer-6-fans-argb/,2026-06-30 01:46:21
MTEC,Ecuador,USD,CPU,procesador,Gamdias Kratos M1 600B Fuente de Poder 600W 80+ Bronze,"$66.00 
El precio original era: $66.00.
$60.00
El precio actual es: $60.00.",https://mtec-ec.com/producto/gamdias-kratos-m1-600b-fuente-de-poder-600w-80-bronze/,2026-06-30 01:46:21
MTEC,Ecuador,USD,CPU,procesador,Gamdias Atlas M3M Case Gamer Vidrio Templado 3 Fans,"$71.50 
El precio original era: $71.50.
$65.00
El precio actual es: $65.00.",https://mtec-ec.com/producto/gamdias-atlas-m3m-case-gamer-vidrio-templado-3-fans/,2026-06-30 01:46:26
MTEC,Ecuador,USD,CPU,procesador,Lenovo LOQ 15ARP10E AMD R7 7735HS 16GB 512GB RTX 4050 15.6″,"$1,303.50 
El precio original era: $1,303.50.
$1,185.00
El precio actual es: $1,185.00.",https://mtec-ec.com/producto/lenovo-loq-15arp10e-amd-r7-7735hs-16gb-512b-rtx-4050-15-6/,2026-06-30 01:46:26
MTEC,Ecuador,USD,CPU,procesador,Mtec PC Rainbow Beast Frozen Ryzen 7 9850X3D 16GB 2TB RTX 5070,"$3,297.80 
El precio original era: $3,297.80.
$2,998.00
El precio actual es: $2,998.00.",https://mtec-ec.com/producto/mtec-pc-rainbow-beast-frozen-ryzen-7-9800x3d-32gb-2tb-rtx-5070/,2026-06-30 01:46:26
MTEC,Ecuador,USD,CPU,procesador,ASUS V16 Core 5 120H RTX 4050 6GB 16GB RAM,"$1,177.00 
El precio original era: $1,177.00.
$1,070.00
El precio actual es: $1,070.00.",https://mtec-ec.com/producto/asus-v16-core-5-120h-rtx-4050-6gb-16gb-ram/,2026-06-30 01:46:26
MTEC,Ecuador,USD,CPU,procesador,ASUS Prime B850M-A Mainboard DDR5 mATX AMD,"$192.50 
El precio original era: $192.50.
$175.00
El precio actual es: $175.00.",https://mtec-ec.com/producto/asus-prime-b850m-a-wifi-ddr5-matx-amd/,2026-06-30 01:46:26
MTEC,Ecuador,USD,CPU,procesador,MSI B550M-A PRO Motherboard AMD AM4 DDR4,"$110.00 
El precio original era: $110.00.
$100.00
El precio actual es: $100.00.",https://mtec-ec.com/producto/msi-b550m-a-pro-motherboard-amd-am4-ddr4/,2026-06-30 01:46:26
