tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 5 250KF PLUS 5.3GHZ 22TOPS 18+18 LGA 1851,$280.00,https://nomadaware.com.ec/producto/procesador-intel-core-ultra-5-250kf-plus-5-3ghz-22tops-1818-lga-1851/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR RYZEN 9 9950X3D2 5.6GHZ 16+32 AM5,$1290.00,https://nomadaware.com.ec/producto/procesador-ryzen-9-9950x3d2-5-6ghz-am5/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR INTEL I7 14700 5.4GHZ 20+28 LGA1700 14VA,$470.00,https://nomadaware.com.ec/producto/procesador-intel-core-i7-14700-5-4ghz/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 5 225 4.9GHZ 19TOPS 10+10 LGA 1851,$260.00,https://nomadaware.com.ec/producto/procesador-intel-core-ultra-5-225/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 9600 5.2GHZ 6+12 AM5,$300.00,https://nomadaware.com.ec/producto/procesador-amd-ryzen-5-9600-am5/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 9 5900XT 4.8GHZ 16+32 AM4,$490.00,https://nomadaware.com.ec/producto/procesador-amd-ryzen-9-5900xt-am4/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 9 9900X3D 5.5GHZ 12+24 AM5,$780.00,https://nomadaware.com.ec/producto/amd-ryzen-9-9900x3d-5-5ghz-am5/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 9 9950X3D 5.7GHZ 16+32 AM5,$950.00,https://nomadaware.com.ec/producto/amd-ryzen-9-9950x3d-5-7ghz-1632-am5/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 7 8700F 5GHZ 8+16 AM5,$300.00,https://nomadaware.com.ec/producto/amd-ryzen-7-8700f-5ghz-816-am5/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 5 225F 4.9GHZ 19TOPS 10+10 LGA 1851,$230.00,https://nomadaware.com.ec/producto/intel-core-ultra-5-225f-lga-1851/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 9 285K 5.7GHZ 36TOPS 24+24 LGA 1851,$820.00,https://nomadaware.com.ec/producto/procesador-intel-core-ultra-9-285k/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 8400F 6+12 4.7GHZ,$200.00,https://nomadaware.com.ec/producto/procesador-amd-ryzen-5-8400f-612-4-7ghz/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 7 265KF 5.5GHZ 33TOPS 20+20 LGA 1851,$430.00,https://nomadaware.com.ec/producto/procesador-intel-core-ultra-7-265kf/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 9 9900X 5.6GHZ 12+24 AM5,$550.00,https://nomadaware.com.ec/producto/procesador-amd-ryzen-9-9900x/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 9600X 5.4GHZ 6+12 AM5,$300.00,https://nomadaware.com.ec/producto/procesador-amd-ryzen-5-9600x-5-4ghz/,2026-06-30 01:48:08
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 8500G RADEON 740M,$180.00,https://nomadaware.com.ec/producto/procesador-ryzen-5-8500g-radeon-740m/,2026-06-30 01:48:12
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 7 8700G 8+16 5.1GHZ +RADEON 780M,$300.00,https://nomadaware.com.ec/producto/amd-ryzen-7-8700g-5-1ghz-radeon-780m/,2026-06-30 01:48:12
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 5 8600G 6+12 5.0GHZ +RADEON 760M,$220.00,https://nomadaware.com.ec/producto/amd-ryzen-5-8600g-5-0ghz-radeon-760m/,2026-06-30 01:48:12
NomadaWare,Ecuador,USD,CPU,procesador,PROCESADOR AMD RYZEN 7 7700 5.3GHZ 8+16 AM5,$390.00,https://nomadaware.com.ec/producto/procesador-amd-ryzen-7-7700-5-3ghz-am5/,2026-06-30 01:48:12
NomadaWare,Ecuador,USD,CPU,procesador,MSI CUBI 5 INTEL I3 1215U DDR4 +WIFI +BLUETOOTH,"$402.50 
El precio original era: $402.50.
$349.99
El precio actual es: $349.99.",https://nomadaware.com.ec/producto/msi-cubi-5-intel-i3-1215u-ddr4-wifi-bluetooth/,2026-06-30 01:48:18
NomadaWare,Ecuador,USD,CPU,procesador,MSI CUBI 5 INTEL I5 1235U DDR4 +WIFI +BLUETOOH,"$609.50 
El precio original era: $609.50.
$529.99
El precio actual es: $529.99.",https://nomadaware.com.ec/producto/msi-cubi-5-intel-i5-1235u-ddr4-wifi-bluetooh/,2026-06-30 01:48:18
NomadaWare,Ecuador,USD,CPU,procesador,MSI CUBI 5 INTEL I7 1255U DDR4 +WIFI +BLUETOOTH,"$770.50 
El precio original era: $770.50.
$669.99
El precio actual es: $669.99.",https://nomadaware.com.ec/producto/msi-cubi-5-intel-i7-1255u-ddr4-wifi-bluetooth/,2026-06-30 01:48:18
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ZOTAC AMP EXTREME INFINITY GEFORCE RTX 5080 16GB GDDR7,"$2357.50 
El precio original era: $2357.50.
$2049.99
El precio actual es: $2049.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-zotac-amp-extreme-infinity-geforce-rtx-5080-16gb-gddr7/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE EAGLE GEFORCE RTX 5060 8GB OC GDDR7,"$575.00 
El precio original era: $575.00.
$499.99
El precio actual es: $499.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-gigabyte-eagle-geforce-rtx-5060-8gb-oc-gddr7/,2026-06-30 01:48:27
