tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core Ultra 5 250K Plus | Turbo 5.3GHz | 18-Cores | LGA1851,$337.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-ultra-5-250k-plus-turbo-5-3ghz-18-cores-lga1851/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador AMD Ryzen 3 3200G – Con gráficos Radeon VEGA 8,$95.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-3-3200g-con-graficos-radeon-vega-8/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core Ultra 7 270K Plus | 24-Cores | LGA1181,$502.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-ultra-7-270k-plus-24-cores-3-7ghz-base-36mb-lga1851-125w-base/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador AMD Ryzen 9 9950X3D 16-Cores 32-Hilos – AM5,,https://www.tecnosmart.com.ec/producto/amd-9950x3d/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE i5-14400 – 2.5GHZ – 14TH – LGA1700 – UHD770 – 10 CORES – 20MB CACHE,$305.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i5-14400-2-5ghz-14th-lga1700-uhd770-10-cores-20mb-cache/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE i3-13100F – 3.40GHZ – 13TH – LGA1700 – 4 CORES – 12MB CACHE,$175.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i3-13100f-3-40ghz-13th-lga1700-4-cores-12mb-cache/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core i7-14700K 20-Cores/28-Hilos (8P+12E) Base 3.4GHz Turbo 5.4GHz – Caché 33MB – Gráficos Intel – LGA1700 14th Gen,$619.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i7-14700k-20-cores-28-hilos-8p12e-base-3-4ghz-turbo-5-4ghz-cache-33mb-graficos-intel-lga1700-14th-gen/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE i7-8700K – 12MB – 3.7GHZ – LGA1151 – 6-CORES – 95W – INTEL GRAPHICS,$115.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/producto-180/,2026-06-30 01:43:34
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core i7-14700F | 8-CORES / 20-THREADS | 28MB | LGA1700 | Sin Gráficos.,$514.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/producto-138/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE i7-14700 – 3.40GHZ BASE – 33MB – LGA1700,$567.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/producto-137/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 7 265KF – BASE 3.9 GHZ – 30MB – LGA1851 – 20-cores (8P+12E) – 250W,$369.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-ultra-7-265kf-base-3-9-ghz-30mb-lga1851-20-cores-8p12e-250w/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PROCESADOR INTEL CORE ULTRA 5 225 – 20MB – 4.9GHZ – LGA1851 – 10-CORES – 65W – INTEL GRAPHICS,$272.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-ultra-5-225-20mb-4-9ghz-lga1851-10-cores-65w-intel-graphics/,2026-06-30 01:43:35
