clave_canonica,categoria,tiendas_comparadas,tienda_mas_barata,precio_min_usd,precio_max_usd,ahorro_usd,ahorro_pct,producto_ejemplo
rtx 5090 32gb,GPU,2,NomadaWare,3989.99,6989.99,3000.0,42.9,TARJETA DE VIDEO ZOTAC AMP EXTREME INFINITY GEFORCE RTX 5090 32GB GDDR
rx 9060 xt,GPU,3,TecnoGame,469.0,776.99,307.99,39.6,Tarjeta Gráfica Amd Rx 9060 XT 8Gb Gddr6 3F – Gigabyte Gaming OC
rx 9070 gaming,GPU,2,CompuGamer,900.0,1065.93,165.93,15.6,"Tarjeta de Video Gigabyte AMD Radeon RX 9070 GAMING OC, 16GB 256-bit G"
rtx 4070 ti,GPU,2,NomadaWare,1249.99,1404.99,155.0,11.0,TARJETA DE VIDEO ASUS TUF GEFORCE RTX 4070 TI SUPER BTF WHITE OC EDITI
corsair teclado k70,PERIFERICO,3,CompuGamer,89.0,230.0,141.0,61.3,"Teclado Gamer Corsair K70 Core RGB, Teclado Mecánico, Switch Cherry ML"
logitech audifonos g733,PERIFERICO,2,Tecnosmart,20.99,160.0,139.01,86.9,ALMOHADILLAS DE REPUESTO PARA AUDIFONOS LOGITECH G733 – BLACK
core ultra 9 285k,CPU,5,NomadaWare,820.0,950.0,130.0,13.7,PROCESADOR INTEL CORE ULTRA 9 285K 5.7GHZ 36TOPS 24+24 LGA 1851
core ultra 7 265k,CPU,2,Tecnosmart,450.99,575.0,124.01,21.6,PROCESADOR INTEL CORE ULTRA 7 265K – 30MB – LGA1851 – 20-cores (8P+12E
logitech mouse g502,PERIFERICO,2,TecnoGame,55.0,175.0,120.0,68.6,Mouse Gamer Programable Rgb – Logitech G502 Hero
ryzen 9 5900xt,CPU,2,TecnoGame,389.0,490.0,101.0,20.6,"Procesador Ryzen 9 5900XT, 16N+32H – AMD"
ryzen 7 7800x3d,CPU,2,TecnoGame,499.0,599.99,100.99,16.8,"Procesador Ryzen 7 7800X3D, AM5 8N 16H – AMD"
rtx 5070 12gb,GPU,2,NomadaWare,949.99,1049.99,100.0,9.5,TARJETA DE VIDEO ASUS PRIME GEFORCE RTX 5070 12GB OC GDDR7
rx 9070 xt,GPU,2,NomadaWare,1149.99,1235.44,85.45,6.9,TARJETA DE VIDEO XFX SWIFT AMD RADEON RX 9070 XT 16GB GDDR6
ryzen 9 7900x,CPU,2,TecnoGame,459.0,543.99,84.99,15.6,"Procesador Ryzen 9 7900X, AM5 12N 24H – AMD"
ryzen 9 9950x3d2,CPU,2,NomadaWare,1290.0,1370.99,80.99,5.9,PROCESADOR RYZEN 9 9950X3D2 5.6GHZ 16+32 AM5
rtx 5060 8gb,GPU,3,NomadaWare,479.99,556.99,77.0,13.8,TARJETA DE VIDEO MSI CYCLONE GEFORCE RTX 5060 8GB OC GDDR7
rtx 5050 8gb,GPU,3,NomadaWare,399.99,473.99,74.0,15.6,TARJETA DE VIDEO ZOTAC TWIN EDGE NVIDIA RTX 5050 8GB OC GDDR6
rtx 5060,GPU,2,CompuGamer,480.0,553.99,73.99,13.4,"Tarjeta de Video ASUS NVIDIA RTX 5060 DUAL-RTX5060-O8G, 8GB 128-bit GD"
ryzen 5 8500g,CPU,5,CompuGamer,179.0,248.99,69.99,28.1,"Procesador AMD Ryzen 5 8500G con AMD Radeon Graphics, Socket AM5, 5GHz"
ryzen 7 9700x,CPU,3,TecnoGame,425.0,490.99,65.99,13.4,"Procesador Ryzen 7 9700X, AM5 8N 16H – AMD"
kingston 16gb ddr4 3200mhz,RAM,3,Tecnosmart,132.99,197.17,64.18,32.6,Memoria RAM DDR4 Kingston 16GB 3200MHz – (KVR32N22D8/16)
core i5-14400,CPU,2,CompuGamer,245.0,305.99,60.99,19.9,"Procesador Intel Core i5-14400 con Intel UHD Graphics 730, LGA 1700, 4"
core ultra 7 265kf,CPU,2,Tecnosmart,369.99,430.0,60.01,14.0,PROCESADOR INTEL CORE ULTRA 7 265KF – BASE 3.9 GHZ – 30MB – LGA1851 – 
gigabyte gs34wqca,MONITOR,2,CompuGamer,490.0,549.0,59.0,10.7,"Monitor Gamer Curvo Gigabyte GS34WQCA LCD 34″, 3440×1440 Ultra Wide Qu"
ryzen 5 9600x,CPU,4,TecnoGame,275.0,333.99,58.99,17.7,"Procesador Ryzen 5 9600X, AM5 6N 12H – AMD"
core ultra 5 225f,CPU,3,MTEC,220.0,276.99,56.99,20.6,Intel Core Ultra 5 225F Procesador 10C hasta 4.9Ghz
xpg 16gb ddr5 lancer 6000mhz,RAM,2,NomadaWare,270.0,325.0,55.0,16.9,16GB RAM DDR5 XPG LANCER BLADE BLACK 6000MTS CL48
ryzen 7 8700g,CPU,5,TecnoGame,299.0,353.99,54.99,15.5,"Procesador Ryzen 7 8700G, AM5 8N 16H, Gráficos 780M – AMD"
gigabyte mo27q28g,MONITOR,2,NomadaWare,789.99,840.99,51.0,6.1,MONITOR GIGABYTE MO27Q28G WOLED
ryzen 9 9950x3d,CPU,2,NomadaWare,950.0,999.99,49.99,5.0,PROCESADOR AMD RYZEN 9 9950X3D 5.7GHZ 16+32 AM5
asus pa279crv,MONITOR,2,NomadaWare,589.99,638.99,49.0,7.7,MONITOR ASUS PROART PA279CRV
ryzen 7 8700f,CPU,5,TecnoGame,279.0,325.99,46.99,14.4,"Procesador Ryzen 7 8700F, AM5 8N 16H – AMD"
rtx 5070 ti 16gb,GPU,2,Tecnosmart,1404.99,1449.99,45.0,3.1,TARJETA DE VIDEO ASUS PRIME RTX 5070 TI 16GB GDDR7 (PRIME-RTX5070TI-O1
core ultra 7 265,CPU,2,CompuGamer,425.0,470.0,45.0,9.6,"Procesador Intel Core Ultra 7 265 con Intel Graphics, LGA 1851, 5.3GHz"
ryzen 7 7700 3,CPU,2,MTEC,390.0,434.99,44.99,10.3,Amd Ryzen 7 7700 3.8Ghz 8 Núcleos 16 Hilos AM5
corsair 16gb ddr4 vengeance 3200mhz,RAM,2,NomadaWare,180.0,221.99,41.99,18.9,16GB RAM DDR4 CORSAIR VENGEANCE LPX 3200MHZ CL16
teros te-1914s,MONITOR,2,Tecnosmart,69.99,110.0,40.01,36.4,MONITOR TEROS TE-1914S 19.5″ 1600X900 – 5MS – 220 NITS – HDMI – VGA
asus pa248qfv,MONITOR,2,NomadaWare,329.99,368.99,39.0,10.6,MONITOR ASUS PROART PA248QFV
