modelo,nucleos,hilos,tdp,clock_base,socket
AMD Athlon™ Gold 7220C,2.0,4.0,15W,2.4GHz,FT6
AMD Athlon™ Silver 7120C,2.0,2.0,15W,2.4GHz,FT6
AMD Ryzen™ 5 7520C,4.0,8.0,15W,2.8GHz,FT6
AMD Ryzen™ 3 7320C,4.0,8.0,15W,2.4GHz,FT6
AMD Ryzen™ Z1,6.0,12.0,,3.2GHz,
AMD Ryzen™ Z1 Extreme,8.0,16.0,,3.3GHz,
AMD Ryzen™ 9 7945HX,16.0,32.0,55W,2.5GHz,FL1
AMD Ryzen™ 9 7845HX,12.0,24.0,55W,3.0GHz,FL1
AMD Ryzen™ 7 7745HX,8.0,16.0,55W,3.6GHz,FL1
AMD Ryzen™ 5 7645HX,6.0,12.0,55W,4.0GHz,FL1
AMD Ryzen™ 9 7940HS,8.0,16.0,35-54W,4.0GHz,"FP7, FP7r2, FP8"
AMD Ryzen™ 7 7840HS,8.0,16.0,35-54W,3.8GHz,"FP7, FP7r2, FP8"
AMD Ryzen™ 5 7640HS,6.0,12.0,35-54W,4.3GHz,"FP7, FP7r2, FP8"
AMD Ryzen™ 7 7735HS,8.0,16.0,35-54W,3.2GHz,FP7
AMD Ryzen™ 5 7535HS,6.0,12.0,35-54W,3.3GHz,FP7
AMD Ryzen™ 9 PRO 7940HS,8.0,16.0,45W,4.0GHz,"FP7, FP7r2"
AMD Ryzen™ 7 PRO 7840HS,8.0,16.0,45W,3.8GHz,"FP7, FP7r2"
AMD Ryzen™ 7 PRO 7840U,8.0,16.0,28W,3.3GHz,"FP7, FP7r2"
AMD Ryzen™ 5 PRO 7540U,6.0,12.0,28W,3.2GHz,"FP7, FP7r2"
AMD Ryzen™ 7 7840U,8.0,16.0,28W,3.3GHz,"FP7, FP7r2, FP8"
AMD Ryzen™ 5 PRO 7640HS,6.0,12.0,45W,4.3GHz,"FP7, FP7r2"
AMD Ryzen™ 5 PRO 7640U,6.0,12.0,28W,3.5GHz,"FP7, FP7r2"
AMD Ryzen™ 5 7640U,6.0,12.0,28W,3.5GHz,"FP7, FP7r2, FP8"
AMD Ryzen™ 7 PRO 7730U,8.0,16.0,15W,2.0GHz,FP6
AMD Ryzen™ 5 7540U,6.0,12.0,28W,3.2GHz,"FP7, FP7r2"
AMD Ryzen™ 5 PRO 7530U,6.0,12.0,15W,2.0GHz,FP6
AMD Ryzen™ 3 7440U,4.0,8.0,28W,3.0GHz,"FP7, FP7r2"
AMD Ryzen™ 3 PRO 7330U,4.0,8.0,15W,2.3GHz,FP6
AMD Ryzen™ 7 7736U​,8.0,16.0,,2.7GHz,FP7
