tienda,pais,moneda,categoria,producto,clave_canonica,precio_raw,precio_usd,precio_eur,precio_brl,precio_mxn,precio_gbp,url_producto,fecha_extraccion,fecha_staging
CompuGamer,Ecuador,USD,CPU,"Procesador Intel Core Ultra 7 265 con Intel Graphics, LGA 1851, 5.3GHz, 20 Núcleos, 30MB Caché, Incluye Disipador – 2da. Generación Arrow Lake",core ultra 7 265,"$440,00 El precio original era: $440,00. $425,00 El precio actual es: $425,00. IVA INCLUIDO",425.0,372.61,2194.66,7427.04,321.24,https://www.compugamer.com.ec/gamers/producto/ulltra7265/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador AMD Ryzen 5 5600GT con AMD Radeon Graphics, Socket AM4, 4.60GHz, 6 Núcleos, 16MB Caché – Incluye Disipador",ryzen 5 5600gt,"$210,00 El precio original era: $210,00. $199,00 El precio actual es: $199,00. IVA INCLUIDO",199.0,174.47,1027.62,3477.6,150.42,https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-5-5600gt-con-amd-radeon-graphics-socket-am4-4-60ghz-6-nucleos-16mb-cache-incluye-disipador/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador AMD Ryzen 7 8700G con AMD Radeon Graphics, Socket AM5, 5.10GHz, 8 Núcleos, 24MB Caché – Incluye Disipador",ryzen 7 8700g,"$325,00 El precio original era: $325,00. $315,00 El precio actual es: $315,00. IVA INCLUIDO",315.0,276.17,1626.63,5504.75,238.1,https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-7-8700g-con-amd-radeon-graphics-socket-am5-5-10ghz-8-nucleos-24mb-cache-incluye-disipador/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador AMD Ryzen 7 8700F, Socket AM5, 5GHz, 8 Núcleos, 16MB Caché – Incluye Disipador",ryzen 7 8700f,"$350,00 El precio original era: $350,00. $325,00 El precio actual es: $325,00. IVA INCLUIDO",325.0,284.94,1678.27,5679.5,245.66,https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-7-8700f-socket-am5-5ghz-8-nucleos-16mb-cache-incluye-disipador/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador Intel Core i5-14400 con Intel UHD Graphics 730, LGA 1700, 4.70GHz, 10 Núcleos, 20MB Caché, Incluye Disipador – 14va. Generación Raptor Lake",core i5-14400,"$260,00 El precio original era: $260,00. $245,00 El precio actual es: $245,00. IVA INCLUIDO",245.0,214.8,1265.16,4281.47,185.19,https://www.compugamer.com.ec/gamers/producto/procesador-intel-core-i5-14400-con-intel-uhd-graphics-730-lga-1700-4-70ghz-10-nucleos-20mb-cache-incluye-disipador-14va-generacion-raptor-lake/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador AMD Ryzen 5 8500G con AMD Radeon Graphics, Socket AM5, 5GHz, 6 Núcleos, 16MB Caché – Incluye Disipador",ryzen 5 8500g,"$189,00 El precio original era: $189,00. $179,00 El precio actual es: $179,00. IVA INCLUIDO",179.0,156.93,924.34,3128.1,135.3,https://www.compugamer.com.ec/gamers/producto/procesador-amd-ryzen-5-8500g-con-amd-radeon-graphics-socket-am5-5ghz-6-nucleos-16mb-cache-incluye-disipador/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador Intel Core Ultra 9 285K con Intel Graphics, LGA 1851, 5.7GHz",core ultra 9 285k,"$980,00 El precio original era: $980,00. $950,00 El precio actual es: $950,00. IVA INCLUIDO",950.0,832.89,4905.7,16601.63,718.08,https://www.compugamer.com.ec/gamers/producto/ultra9285k/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Procesador Intel Core Ultra 7 265K Intel Graphics, FCLGA1851, 5.50GHz",core ultra 7 265k,"$590,00 El precio original era: $590,00. $575,00 El precio actual es: $575,00. IVA INCLUIDO",575.0,504.12,2969.24,10048.36,434.63,https://www.compugamer.com.ec/gamers/producto/ultra7265k/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,Procesador Intel Core Ultra 5 245K LGA 1851 14x,core ultra 5 245k,"$455,00 El precio original era: $455,00. $435,00 El precio actual es: $435,00. IVA INCLUIDO",435.0,381.38,2246.3,7601.8,328.8,https://www.compugamer.com.ec/gamers/producto/ultra5245/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,"Tarjeta de Video Gigabyte AMD Radeon RX 9070 GAMING OC, 16GB 256-bit GDDR6, PCI Express 5.0",sin_clasificar,"$950,00 El precio original era: $950,00. $900,00 El precio actual es: $900,00. IVA INCLUIDO",900.0,789.06,4647.51,15727.86,680.28,https://www.compugamer.com.ec/gamers/producto/tarjeta-de-video-gigabyte-amd-radeon-rx-9070-gaming-oc-16gb-256-bit-gddr6-pci-express-5-0/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,CPU,Mainbaord Asus Prime B860m-a socket 1851 intel,sin_clasificar,"$199,00 El precio original era: $199,00. $190,00 El precio actual es: $190,00. IVA INCLUIDO",190.0,166.58,981.14,3320.33,143.62,https://www.compugamer.com.ec/gamers/producto/mainbaord-asus-prime-b860m-a-socket-1851-intel/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,GPU,"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 5070 Ti GAMING OC, 16GB 256-bit GDDR7, PCI Express x16 5.0",rtx 5070 ti g,"$1.690,00 El precio original era: $1.690,00. $1.590,00 El precio actual es: $1.590,00. IVA INCLUIDO",1590.0,1394.0,8210.6,27785.89,1201.83,https://www.compugamer.com.ec/gamers/producto/rtx5070ti16gbgigabyte/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,GPU,"Tarjeta de Video Gigabyte AMD Radeon RX 9070 GAMING OC, 16GB 256-bit GDDR6, PCI Express 5.0",rx 9070 gaming,"$950,00 El precio original era: $950,00. $900,00 El precio actual es: $900,00. IVA INCLUIDO",900.0,789.06,4647.51,15727.86,680.28,https://www.compugamer.com.ec/gamers/producto/tarjeta-de-video-gigabyte-amd-radeon-rx-9070-gaming-oc-16gb-256-bit-gddr6-pci-express-5-0/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,GPU,"Tarjeta de Video ASUS NVIDIA GeForce RTX 5050 OC Edition, 8GB 128-bit GDDR6, PCI Express 5.0",rtx 5050,"$399,00 El precio original era: $399,00. $395,00 El precio actual es: $395,00. IVA INCLUIDO",395.0,346.31,2039.74,6902.78,298.57,https://www.compugamer.com.ec/gamers/producto/tarjeta-de-video-asus-nvidia-geforce-rtx-5050-oc-edition-8gb-128-bit-gddr6-pci-express-5-0/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,GPU,"Tarjeta de Video ASUS NVIDIA RTX 5060 DUAL-RTX5060-O8G, 8GB 128-bit GDDR7, PCI Express 5.0",rtx 5060,"$499,00 El precio original era: $499,00. $480,00 El precio actual es: $480,00. IVA INCLUIDO",480.0,420.83,2478.67,8388.19,362.82,https://www.compugamer.com.ec/gamers/producto/dual50608gb/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,Memoria RAM KINGSTON 16GB DDR5 5600MHz – DIMM – CL46 (KVR56U46BS8- 16),kingston 16gb ddr5 5600mhz,"$210,00 El precio original era: $210,00. $199,00 El precio actual es: $199,00. IVA INCLUIDO",199.0,174.47,1027.62,3477.6,150.42,https://www.compugamer.com.ec/gamers/producto/memoria-ram-kingston-16gb-ddr5-5600mhz-dimm-cl46-kcp556us8-16-kvr56u46bs8-16/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,"Memoria RAM Crucial 16GB DDR5, 5600MHz, 16GB, PC",crucial 16gb ddr5 5600mhz,"$210,00 El precio original era: $210,00. $199,00 El precio actual es: $199,00. IVA INCLUIDO",199.0,174.47,1027.62,3477.6,150.42,https://www.compugamer.com.ec/gamers/producto/memoria-ram-crucial-16gb-ddr5-5600mhz-16gb-pc/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,"Memoria RAM Kingston KCP548US8-16 DDR5, 4800MHz, 16GB, CL40, Verde",kingston 16gb ddr5 4800mhz,"$210,00 El precio original era: $210,00. $199,00 El precio actual es: $199,00. IVA INCLUIDO",199.0,174.47,1027.62,3477.6,150.42,https://www.compugamer.com.ec/gamers/producto/memoria-ram-kingston-kcp548us8-16-ddr5-4800mhz-16gb-cl40-verde/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,Memoria RAM KINGSTON VALUERAM 32GB *DDR5* 6400MHZ – CL52 – CUDIMM (KVR64A52BD8-32) para PC,kingston 32gb ddr5 valueram 6400mhz,"$300,00 El precio original era: $300,00. $290,00 El precio actual es: $290,00. IVA INCLUIDO",290.0,254.25,1497.53,5067.87,219.2,https://www.compugamer.com.ec/gamers/producto/32gbddr5cudimm/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,"Memoria RAM Mushkin DDR4, 3200MHz, 16GB PC",mushkin 16gb ddr4 3200mhz,"$199,00 El precio original era: $199,00. $189,00 El precio actual es: $189,00. IVA INCLUIDO",189.0,165.7,975.98,3302.85,142.86,https://www.compugamer.com.ec/gamers/producto/memoria-ram-mushkin-ddr4-3200mhz-16gb-pc16gbddr4-memoriaram16gbddr4/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,"Memoria RAM Kingston 16GB DDR4, 3200MHz para PC",kingston 16gb ddr4 3200mhz,"$199,00 El precio original era: $199,00. $189,00 El precio actual es: $189,00. IVA INCLUIDO",189.0,165.7,975.98,3302.85,142.86,https://www.compugamer.com.ec/gamers/producto/16gbkins-16gb-ddr4/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,RAM,"Memoria RAM Adata 16GB DDR4, 3200MHz para PC",adata 16gb ddr4 3200mhz,"$199,00 El precio original era: $199,00. $189,00 El precio actual es: $189,00. IVA INCLUIDO",189.0,165.7,975.98,3302.85,142.86,https://www.compugamer.com.ec/gamers/producto/16gbadata16gb-ddr4/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,"Monitor Gamer LG UltraGear G4 LCD 23.8″, 1920×1080 Full HD, G-Sync/FreeSync, 144Hz, HDMI/DisplayPort, Negro Modelo 24G411A-B",lg 24g411a-b,"$210,00 El precio original era: $210,00. $195,00 El precio actual es: $195,00. IVA INCLUIDO",195.0,170.96,1006.96,3407.7,147.39,https://www.compugamer.com.ec/gamers/producto/monitor-gamer-lg-ultragear-g4-lcd-23-8-1920x1080-full-hd-g-sync-freesync-144hz-hdmi-displayport-negro-modelo-24g411a-b/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,Monitor Teros Te-1914s 19.5″ 1600×900 5ms 220 Nits – Hdmi – Vga – Parlantes,teros te-1914s,"$115,00 El precio original era: $115,00. $110,00 El precio actual es: $110,00. IVA INCLUIDO",110.0,96.44,568.03,1922.29,83.15,https://www.compugamer.com.ec/gamers/producto/monitor-teros-te-1914s-19-5-1600x900-5ms-220-nits-hdmi-vga-parlantes/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,"Monitor Gamer Curvo Gigabyte GS34WQCA LCD 34″, 3440×1440 Ultra Wide Quad HD, FreeSync, 120Hz, HDMI/DisplayPort, Negro",gigabyte gs34wqca,"$515,00 El precio original era: $515,00. $490,00 El precio actual es: $490,00. IVA INCLUIDO",490.0,429.6,2530.31,8562.95,370.38,https://www.compugamer.com.ec/gamers/producto/monitor-gamer-curvo-gigabyte-gs34wqca-lcd-34-3440x1440-ultra-wide-quad-hd-freesync-120hz-hdmi-displayport-negro/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,"Monitor Gamer Gigabyte GS27FA LED 27″, 1920×1080 Full HD, 180Hz, HDMI/DisplayPort, Negro",gigabyte gs27fa,"$290,00 El precio original era: $290,00. $280,00 El precio actual es: $280,00. IVA INCLUIDO",280.0,245.48,1445.89,4893.11,211.64,https://www.compugamer.com.ec/gamers/producto/gs27fa/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,MONITOR Indurama 32″ VORTIX Ultra VA FHD 1080p,sin_clasificar,"$399,00 El precio original era: $399,00. $380,00 El precio actual es: $380,00. IVA INCLUIDO",380.0,333.16,1962.28,6640.65,287.23,https://www.compugamer.com.ec/gamers/producto/monitor-indurama-32-vortix-ultra-va-fhd-1080p/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,MONITOR Indurama 27″ VORTIX NOVA IPS FHD 1080p 120Hz HDMI DISPLAYPORT,sin_clasificar,"$189,00 El precio original era: $189,00. $179,00 El precio actual es: $179,00. IVA INCLUIDO",179.0,156.93,924.34,3128.1,135.3,https://www.compugamer.com.ec/gamers/producto/monitor-indurama-27-vortix-nova-ips-fhd-1080p-120hz/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,MONITOR LG 19.5″ HD+ 1600×900 – LED TN – 75Hz – 5ms (GTG) – HDMI/VGA – NEGRO Modelo 20u401a,lg 20u401a,"$1.010,00 El precio original era: $1.010,00. $99,00 El precio actual es: $99,00. IVA INCLUIDO",99.0,86.8,511.23,1730.06,74.83,https://www.compugamer.com.ec/gamers/producto/monitor20u401a/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,Monitor HD LG 19.5″ 20MK40L 75Hz LED HDMI VGA 1366 x 768,lg 20mk40l,"$110,00 El precio original era: $110,00. $99,00 El precio actual es: $99,00. IVA INCLUIDO",99.0,86.8,511.23,1730.06,74.83,https://www.compugamer.com.ec/gamers/producto/monitor20mk40l/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,MONITOR RCA W2427SG 23.8″ FHD (1920X1080) 100HZ – 14MS – HDMI/VGA,rca w2427sg,"$169,00 El precio original era: $169,00. $159,00 El precio actual es: $159,00. IVA INCLUIDO",159.0,139.4,821.06,2778.59,120.18,https://www.compugamer.com.ec/gamers/producto/w2427sg/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,MONITOR,Monitor Quasad 19.5″ QM-B20 HD 1366×768 – 60Hz,sin_clasificar,"$115,00 El precio original era: $115,00. $110,00 El precio actual es: $110,00. IVA INCLUIDO",110.0,96.44,568.03,1922.29,83.15,https://www.compugamer.com.ec/gamers/producto/qm-b20/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,TECLADO PRIMUS GAMING BALLISTA61T – ABS – 61 TECLAS – RETROILUMINADO – SWITCH RED LINEAL – ES – WHITE (PKS-060W-S),primus teclado ballista61t,"$45,00 El precio original era: $45,00. $39,00 El precio actual es: $39,00. IVA INCLUIDO",39.0,34.19,201.39,681.54,29.48,https://www.compugamer.com.ec/gamers/producto/teclado-primus-gaming-ballista61t-abs-61-teclas-retroiluminado-switch-red-lineal-es-white-pks-060w-s/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,Teclado Quasad USB Español Multimedia Modelo QK-440C,quasad teclado qk-440c,"$9,00 El precio original era: $9,00. $8,00 El precio actual es: $8,00. IVA INCLUIDO",8.0,7.01,41.31,139.8,6.05,https://www.compugamer.com.ec/gamers/producto/qk-440c/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,"Teclado Gamer Corsair K70 Core RGB, Teclado Mecánico, Switch Cherry MLX Red, Alámbrico, Negro (Español)",corsair teclado k70,"$99,00 El precio original era: $99,00. $89,00 El precio actual es: $89,00. IVA INCLUIDO",89.0,78.03,459.59,1555.31,67.27,https://www.compugamer.com.ec/gamers/producto/k70core/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,"Teclado Genius KB-117, Alámbrico, USB, Negro (Español)",genius teclado kb-117,"$9,00 El precio original era: $9,00. $8,00 El precio actual es: $8,00. IVA INCLUIDO",8.0,7.01,41.31,139.8,6.05,https://www.compugamer.com.ec/gamers/producto/teclado-genius-kb-117-alambrico-usb-negro-espanol/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,UPGRADE KIT Mouse Logitech G Pro Wireless – Teclado Pro X 60 Tkl Wireless,sin_clasificar,"$350,00 El precio original era: $350,00. $325,00 El precio actual es: $325,00. IVA INCLUIDO",325.0,284.94,1678.27,5679.5,245.66,https://www.compugamer.com.ec/gamers/producto/upgrade-kit-mouse-logitech-g-pro-wireless-teclado-pro-x-60-tkl-wireless/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,Mouse QUASAD QM-850 wireless 1600dpi recargable Red/Negro,quasad mouse 1600dpi,"$10,00 El precio original era: $10,00. $9,00 El precio actual es: $9,00. IVA INCLUIDO",9.0,7.89,46.48,157.28,6.8,https://www.compugamer.com.ec/gamers/producto/qm-850/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,"Mouse Gamer LIGHTSPEED Logitech G Pro, Inalámbrico, Óptico, 25.600DPI",logitech mouse 600dpi,"$135,00 El precio original era: $135,00. $129,00 El precio actual es: $129,00. IVA INCLUIDO",129.0,113.1,666.14,2254.33,97.51,https://www.compugamer.com.ec/gamers/producto/logitechgpro/,2026-06-30,2026-08-05
CompuGamer,Ecuador,USD,PERIFERICO,"Mouse Genius Óptico DX-110, Alámbrico, USB, 1000DPI, Negro",genius mouse 1000dpi,"$6,00 El precio original era: $6,00. $5,00 El precio actual es: $5,00. IVA INCLUIDO",5.0,4.38,25.82,87.38,3.78,https://www.compugamer.com.ec/gamers/producto/dx-110/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR AMD RYZEN 5 8500G AM5 3.5GHZ DDR5 6 NUCLEOS 12 HILOS,ryzen 5 8500g,"$248,99",248.99,218.3,1285.76,4351.2,188.2,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR AMD RYZEN 5 5600GT AM4 3.6GHZ DDR4 WRAITH STEALTH 6 NUCLEOS,ryzen 5 5600gt,"$229,99",229.99,201.64,1187.65,4019.17,173.84,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR LENOVO SERVIDOR SR550/SR590/SR650 Intel Xeon Silver 4208 8C 85W 2.1GHz,sin_clasificar,"$951,99",951.99,834.64,4915.98,16636.41,719.58,https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,CPU,PROCESADOR LENOVO SERVIDOR SR530/SR570/SR630 Intel Xeon Silver 4214 12C 85W 2.2GHz,sin_clasificar,"$1.762,99",1762.99,1545.67,9103.9,30808.96,1332.59,https://www.computron.com.ec/producto-categoria/servidores/componentes-servidores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,GPU,TARJETA DE VIDEO ASUS DUAL GeForce RTX™ 3050 OC 6GB GDDR6X DOS VENTILADORES PCIe 4.0/DVI/HDMI/DP,sin_clasificar,"$299,99",299.99,263.01,1549.12,5242.45,226.75,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,GPU,TARJETA TPLINK PCIe x1 WIFI 300Mbps 2 ANTENAS DESMONTABLES,sin_clasificar,"$14,99",14.99,13.14,77.41,261.96,11.33,https://www.computron.com.ec/producto-categoria/redes/adaptadores/,2026-06-30,2026-08-05
Computron,Ecuador,USD,RAM,MEMORIA SODIMM HIKSEMI 16GB DDR4 3200MHz,hiksemi 16gb ddr4 sodimm 3200mhz,"$259,99",259.99,227.94,1342.56,4543.43,196.52,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD EXT ADATA 1TB - 2000 MB/s- SE880- USB 3.2 Gen2 x2,sin_clasificar,"$274,99",274.99,241.09,1420.02,4805.56,207.86,https://www.computron.com.ec/producto-categoria/almacenamiento/,2026-06-30,2026-08-05
Computron,Ecuador,USD,SSD,DISCO SOLIDO SSD INT M.2 ADATA 1TB 2280 LEGEND 710 PCle Gen3 x4,sin_clasificar,"$329,99",329.99,289.31,1704.04,5766.71,249.43,https://www.computron.com.ec/producto-categoria/computadoras/componentes/,2026-06-30,2026-08-05
